author,text,likes,date,sentiment,predicted_sentiment,sentiment_score
@ConsultantDoc500,"Dear bro you rightly pointed out in this video review that the autonomous emergency braking is not working at all........While, all other  ADAS features are working up to the mark and as expected I to had an extensive test drive of the Tata Safari accomplished plus variant on Saturday that is 21st October and was really disappointed by only one feature not working that is autonomous emergency braking which I tried on the highway........even in the suburban areas and the SUV never stopped on its own......",1,2023-10-24T19:09:24Z,Positive,negative,0.824876070022583
@iaf010,"From the days of the Indica Tata has come a Looong way.

This Safari wouldn't be out of place.anywhere in the world.",0,2023-10-24T15:46:03Z,Negative,positive,0.5697222948074341
@sanjaykumarsingh6270,"Safest, coolest and most premium",0,2023-10-21T11:22:05Z,Positive,positive,0.9204879403114319
@jimmcbride932,Amazing!,0,2023-10-20T16:41:24Z,Positive,positive,0.9069309830665588
@SubhashChandra-vw3rm,I think this will be a flop one.,1,2023-10-18T07:55:02Z,Negative,negative,0.6534193158149719
@huvoverhakho6473,Wow ! interior is like Range Rover,0,2023-10-18T04:18:44Z,Positive,positive,0.9216362833976746
@vamshikumarreddy,so many new colours from Tata,0,2023-10-17T17:07:00Z,Positive,positive,0.6296157836914062
@gtb3493,Congrats safari and harrier for 5 star ⭐⭐⭐⭐⭐ from GNCAP,0,2023-10-17T07:32:12Z,Negative,positive,0.9723830819129944
@phanindra2930,If this one available in Petrol variant...ill book onspot ...,0,2023-10-17T02:58:21Z,Positive,neutral,0.8677119016647339
@Wiiiiiiiiiiiiiiiiiiissrrrr,Always XUV700❤❤,1,2023-10-17T02:15:52Z,Negative,positive,0.9345623254776001
@parashborthakur,"No RWD , no 4WD , doesn't like to be revved .... This can't be SUV .... I don't think it's doing justice to the Safari legacy..... Of course, look wise awesome",7,2023-10-17T01:44:16Z,Positive,negative,0.43311846256256104
@chetanakarte6449,"This is the first time I’ve appreciated an AutoCar video, 
and it’s all thanks to the host, Jay Patil  (@_jay.patil_).

Jay, your presentation skills are fantastic. I love it!

Watching from London, UK.🤩🤩",1,2023-10-16T21:08:52Z,Positive,positive,0.9909555315971375
@samarthmedical2738,Bhai safari pe Dil AA Gaya,0,2023-10-16T14:31:31Z,Negative,neutral,0.817952036857605
@taljeetsingh1545,The Tribal Chief ☝🏻,0,2023-10-16T12:08:43Z,Negative,neutral,0.617978036403656
@milindkaroor2171,"Automatic transmission is a must. Till we have automatic transmission, I cannot purchase.",0,2023-10-16T12:03:41Z,Negative,negative,0.46417343616485596
@DragonSlayerRealThinker,full touch unit in the center is a dropper for me..,2,2023-10-16T09:46:04Z,Positive,neutral,0.690356433391571
@AP40446,Thank God Pratap bose left tata! Designs are so much cleaner now!,0,2023-10-16T07:52:22Z,Positive,positive,0.9551712274551392
@vipulvirus,"it is an oversized MUV. Does not even have 4x4

Safari badge is not suited for this.",2,2023-10-16T07:00:31Z,Negative,negative,0.7783949971199036
@shtokmr,"This time 19 inch alloys come in tip model.
Rest everything same, kindly make a video on effect of 17,18 or 19 inch wheels on a car.",0,2023-10-16T05:15:33Z,Positive,neutral,0.8194304704666138
@shtokmr,How is throw and efficacy of LED light in real conditions?,1,2023-10-16T05:13:50Z,Positive,neutral,0.879893958568573
@ashwinhgtx,Wish they improved the engine refinement,0,2023-10-16T05:07:42Z,Negative,neutral,0.6866723299026489
@Iamanto45,Love Tata for it's amazing safety cars,3,2023-10-16T03:30:16Z,Positive,positive,0.9516158699989319
@RahulKumar-wl5yx,"Alloy are very bad in Nexon , harrier, Safari",0,2023-10-16T03:12:40Z,Negative,negative,0.9538313150405884
@rajathrs7737,Safari the king ❤,1,2023-10-16T03:01:13Z,Negative,positive,0.8043699264526367
@CIA.Langley,No AWD. Useless.,1,2023-10-16T01:49:31Z,Negative,negative,0.9495101571083069
@Daily_Man_India,As the design team TATA+JLR just shown their talent upon what next gen is like,2,2023-10-16T01:26:12Z,Negative,positive,0.8302300572395325
@vijayvicky83,Let's see their  facelift after sales 😅,0,2023-10-16T01:17:34Z,Negative,neutral,0.518856942653656
@umang_satute,It’s hard to believe this is the same company which designed ‘Indica’. So many WoWs ❤,5,2023-10-15T22:34:25Z,Positive,positive,0.5256509184837341
@srinivasanramamoorthy9026,Itz so stupid that they went for piano black knowing that it will become worn out and bad very soon. Also they didn't fix the issue of left knee hitting the bottom side of dashboard,1,2023-10-15T22:24:25Z,Negative,negative,0.9727739095687866
@VenomGT03,Land rover is that you ?,0,2023-10-15T22:09:10Z,Negative,neutral,0.8692678809165955
@vaibhavchopda04,"Hit like if you feel, car is inspired by range rover❤",0,2023-10-15T22:05:25Z,Negative,positive,0.8395845293998718
@robissonwillard7266,Nice🇸🇦,0,2023-10-15T19:46:25Z,Negative,positive,0.857739269733429
@aakarshkabir9618,"Why doesn't TATA give AWD 🤔🤬
Bigg tata supporter but not happy",1,2023-10-15T19:34:42Z,Negative,negative,0.8773994445800781
@aadil.s.h3946,As the boot space is too less with all seats up Tata should give a well designed roof top carrier which should camouflage with design,1,2023-10-15T19:23:00Z,Positive,neutral,0.728626012802124
@vaibhavpandey3569,Petrol options needed,0,2023-10-15T19:17:52Z,Negative,neutral,0.7682543396949768
@EscapeToVictoryNow,"Tata Safari pros and CONS: 
1. Absolutely brilliant build quality , second to none 
2. Brilliant ride , handling and comfort 

CONS: 
1. Disastrous Reliability 
2. Disastrous After Sales Service 
3. Disastrous Mileage 
4. Disastrous Paint Quality 
5. Exceptionally Highest Part replacement cost with service cost",1,2023-10-15T18:48:36Z,Negative,neutral,0.4016271233558655
@dheeraj8001,Hybrid version of safari will be a great move considering the current norms on the diesel engines.,7,2023-10-15T18:43:10Z,Positive,positive,0.9333738684654236
@chetmak81,"7:55 has anyone noticed the uneven finish of the plastic housing of the USB ports, surely Tata 😂",8,2023-10-15T18:11:01Z,Positive,neutral,0.6512196660041809
@rohitupadhyay319,Tata has done a great job of sending even more Safaris to Service Centre...,9,2023-10-15T17:53:55Z,Positive,positive,0.9461261630058289
@thelowkeygentleman,But where is AWD/4WD…??,0,2023-10-15T17:48:13Z,Negative,neutral,0.8000540137290955
@warrierstar1,Any plans for Safari to come with the hybrid model?,0,2023-10-15T17:26:20Z,Negative,neutral,0.9379872679710388
@suhail12543,I refuse to accept it as a true safari until its gets 4x4 until then its a Harrier with Back Hump😅,1,2023-10-15T17:24:41Z,Positive,negative,0.6109727621078491
@ajaysinghthakur540,Just an Design update & Nothing new with respect to Engineering....Its really unexpected from TM.....AutoRepd,0,2023-10-15T17:19:41Z,Positive,neutral,0.5513795018196106
@mkpatnaik9319,"Tata has to do a serious face lift to its quality of service. No matter how trendy and tech loaded cars it's brings, it falls into a deep gutter in terms of service. As a sad tata user, think of service before you buy a Tata. It is a pain.",2,2023-10-15T17:16:57Z,Negative,negative,0.799525260925293
@almightyhimself9284,"i must say, this guy is really sharp and dominant.  keeps the focus on himself as we as the car.  nice wayferers too.",0,2023-10-15T17:15:10Z,Positive,positive,0.940045952796936
@ShubhamMachivale,Tata is way ahead from all cars manufacturers ❤❤,2,2023-10-15T17:04:20Z,Negative,positive,0.9477887153625488
@ovisheksarkar1172,Best Product right now ❤❤❤,0,2023-10-15T17:01:35Z,Positive,positive,0.9822618961334229
@ADOPT_HECKLER,What is the exact criteria to be up market? Cars are slowly becoming like children toys in India sadly we have to blame no one else but us.,0,2023-10-15T17:01:23Z,Positive,negative,0.931852400302887
@ruturajfakatkar1758,Tata is still stubborn they should have offered AWD option because an SUV is which is FWD is not an SUV it’s just a crossover. Anyway the people who know the definition of an SUV will skip this car. I know city driving will not require 4WD but atleast an option was worth considering.,1,2023-10-15T16:54:31Z,Positive,neutral,0.5776248574256897
@sd-ru3fg,Tata logo is not appealing,0,2023-10-15T16:54:20Z,Negative,negative,0.9332886338233948
@theunemployedmind,"Tata, the absence of physical buttons is a deal-breaker for me. While I was excited about considering the Harrier or a Safari, I prioritize safety and convenience. Despite Tata's excellent crash ratings, I have 15 years of driving experience in basic cars like the 800 and Alto, which lacked safety features. This has made me a cautious driver. For the past five years, I've enjoyed the security of advanced safety features, so fumbling with non-physical controls and diverting my attention from the road doesn't make sense. I'll have to pass on these vehicles.",9,2023-10-15T16:52:23Z,Positive,neutral,0.44247037172317505
@kunwersingh560,It looks like Tata motors intentionally make safari more good looking than Harrier.,0,2023-10-15T16:51:01Z,Positive,positive,0.6698728203773499
@1priyansh,"Still there is no option for 4wd, atleast AWD Should have been there",0,2023-10-15T16:47:35Z,Negative,neutral,0.543423056602478
@rishiktiwari,They first need to make the Safari boxy again! It looks like a toy.,0,2023-10-15T16:40:17Z,Positive,neutral,0.48304083943367004
@pradeepambat9448,Only thing remaining is for Tata to gets its act together in customer service and quality control.,0,2023-10-15T16:37:56Z,Negative,neutral,0.7986654043197632
@prateektaunk7763,"After so many upgrades in safari series. It's surprisingly still not close perfect. 
White seat covers in a Sports Utility Vehicle is just senseless. Glossy touch panels hard to use are also unsafe and scratch prone. I also wouldn't like to scratch my phone on that wireless charger. Sunroof being India's big demand is just useless again. 
Paddle shifters also don't seem to work well. Will have to wait for another upgrade.",3,2023-10-15T16:27:41Z,Positive,negative,0.9496638774871826
@bala-ok6qn,All okay but how about the Quality and reliability of the features added and also the  after sales service is so poor 😢,1,2023-10-15T16:26:34Z,Positive,negative,0.839457094669342
@kunwarprateeksingh3403,Tata should sell these products in all Right hand drive markets,0,2023-10-15T16:10:46Z,Positive,neutral,0.7472444176673889
@divyangdodia167,"Love or hate the usage of the badge Safari, but you can't ignore the sheer road presence and awesome look of this car",5,2023-10-15T16:07:14Z,Positive,positive,0.9023706316947937
@bhaumik331,"I want the supple ride which you said in the video this isn't....So which Car has the best suspension comfort, upto 20-25 lac. 

¿????????????¿‽",0,2023-10-15T16:00:53Z,Positive,neutral,0.5508516430854797
@sudharsansathiamoorthy1075,Awesome review from Autocar as always 🎉🎉,0,2023-10-15T15:40:57Z,Positive,positive,0.9879658818244934
@lalithadithyayt,The fake wood looks extra fake ……,1,2023-10-15T15:36:59Z,Negative,negative,0.6377191543579102
@shivakumarparthasarathy4444,Is it a frame on ladder retaining safari dna! Is it high seating? Why can't tata offer flush centre dash display instead of a prime tive ugly display screen sticking out. Ugly steering. Can you down shift with paddle shifter with braking ?,1,2023-10-15T15:21:20Z,Negative,negative,0.72771817445755
@saliloza5461,Still love the dicor variant of the Safari. That looked like a proper Indian suv.,0,2023-10-15T15:19:39Z,Positive,positive,0.9606396555900574
@albertsmannoor1530,i dont think safari can still match with 700  when it comes to ride and handlng.,2,2023-10-15T15:12:28Z,Negative,negative,0.5229792594909668
@mohanjitaakmohanjitaak4365,❤❤tata,0,2023-10-15T14:58:35Z,Negative,positive,0.7098681926727295
@itznavroon,Always Safari❤,0,2024-12-03T02:35:25Z,Negative,positive,0.8250299096107483
@shineace77,Wonderful Video with great perspective for someone trying to decided between Safari and Harrier,0,2024-03-17T15:25:10Z,Positive,positive,0.954048216342926
@madhavendrashenoy,Awesome video ❤,0,2024-01-09T18:45:11Z,Positive,positive,0.9812449216842651
@BunnyPuniaVideos,And here is the full Safari review off the road - https://www.youtube.com/watch?v=VYRE8eoLyJc,14,2021-02-01T03:31:06Z,Positive,neutral,0.8403741717338562
@Thetruth015,Bhai mujhe samajh nhi aa rha hai ki mai Safari lu ki Herrier dono ki XT+ varients lunga aap log mujhe btao ki mai kaunsi car lu plz btao 🙏,1,2022-02-07T16:11:13Z,Negative,neutral,0.8343816995620728
@joybanerjee5168,Good information if you can stretch safari makes better with additional features stil missing some features 360 camera which is must for such a big vehicle,0,2022-02-03T20:02:07Z,Positive,positive,0.8354438543319702
@ShubhamSingh-hi5qy,Old tata safari had its own iconic look🔥 which is now gone.. Though the front design which is same as harrier is great but considering the history of safari and its features tata didn't gave safari its own characteristic look or even a modified version of old one which could bi so good if implemented . now its a like harrier pro or plus version model.. ( hyundai also did that in case of alcazar ),0,2022-02-01T16:28:53Z,Positive,positive,0.5742563605308533
@farhaadkhaann,Tata harier,0,2022-02-01T04:41:00Z,Negative,neutral,0.6607447266578674
@sumathisuma8078,Nice explained and good camera man,1,2021-12-24T13:44:20Z,Positive,positive,0.9171811938285828
@manmeetonline2002,"Harrier seats folded are not flat, whereas Safari seats when folded are absolutely flat.",0,2021-11-08T14:41:24Z,Negative,neutral,0.630040168762207
@gamingstudio2257,In back and side profile harrier looks more aggressive than safari .... It looks very stunning 😍😍,6,2021-09-27T07:31:22Z,Positive,positive,0.9748297333717346
@BeastGaming-uh1pn,Harrier also get all wheel disc brakes now.,0,2021-09-13T04:00:22Z,Negative,neutral,0.8793464303016663
@akshatsemwal7009,Hindi Mai bnate toh accha rhta,0,2021-09-07T13:22:44Z,Negative,neutral,0.7954910397529602
@trade961,Bhai hindi me video banao....adhe logon ko samajh nhi ayega,0,2021-09-03T09:54:38Z,Negative,neutral,0.8332371711730957
@Adnan_sus,Dono alag hai kya😂😂,0,2021-09-01T16:56:24Z,Negative,neutral,0.6499902606010437
@nishantssinha00,Bhai hindi nahi aati kyaa,0,2021-08-06T18:34:49Z,Negative,neutral,0.7522226572036743
@anshjodhani9166,Who else is fan of TATA 🔥🔥🔥🔥🔥,3,2021-07-04T12:32:22Z,Negative,positive,0.8003560900688171
@paraspatel127,Bhai Angrej ho kya English mein bol rahe ho Hindi mein bolo yaar,0,2021-07-03T13:11:25Z,Negative,neutral,0.8262404203414917
@dcsingh8790,Nice information,0,2021-06-18T16:04:22Z,Positive,positive,0.8621202111244202
@rudharpartap17,Why Tata do not launched Safari in black colour it  would totally looks like a beast😈,0,2021-05-24T14:16:08Z,Negative,positive,0.49648189544677734
@KashifKhan-jh8vd,Harrier win,0,2021-05-22T17:09:33Z,Positive,neutral,0.6182370185852051
@mrutyunjaypatra7700,"Tata cars have the best back looks 
But front looks sucks",0,2021-05-10T17:47:29Z,Positive,negative,0.5986994504928589
@asrasr8206,👍TATA😘,1,2021-05-09T19:12:29Z,Negative,positive,0.6497403979301453
@punyobamang3977,Best comparision review...,1,2021-05-08T18:08:34Z,Positive,positive,0.5103341937065125
@xplorer130,I love both ❤️,1,2021-04-30T07:59:03Z,Positive,positive,0.9843156933784485
@tusharravrani5393,Ayus bhai safari lena,0,2021-04-19T04:54:00Z,Negative,neutral,0.7264348864555359
@hirumadavi8822,Drive ka review kon dega.... adha adhura kam krte hi kyu ho.,0,2021-04-12T09:47:56Z,Negative,neutral,0.8182554841041565
@azharqazi4751,"Wht the f 🙄
Both front Bumper r same
Fog lamp head lamp drl r same.. rear n side shape r similar.
Tata produces twins for the first time in automobile history",2,2021-04-09T14:50:55Z,Positive,neutral,0.7090398669242859
@LOVEGODFEARSIN,Very well explained. Very simple n lucid. Keep it up,1,2021-03-29T17:33:17Z,Positive,positive,0.9621086716651917
@debasishbehera3132,Best vs best koi kisi se kami nahi,0,2021-03-29T02:31:15Z,Positive,neutral,0.7426881790161133
@PLASSMA25,"Credit for both must go to FIAT, both of them running on 170 ps kyrotec FIAT sourced engine.. TATA is just developing bodies and interior and making people fool😂.. go FIAT go...",0,2021-03-28T19:39:23Z,Negative,neutral,0.5938315987586975
@a8hi_24__,"Dono same lagti hai aage ,piche see 😂",1,2021-03-28T04:43:16Z,Negative,neutral,0.7389293313026428
@nzpuffdevnaga1763,Tata Harrier looks too incomplete Infront of Tata Safari 😂,0,2021-03-23T08:21:37Z,Negative,negative,0.7349078059196472
@Rudraksh_chhetri,"Like :- for Tata Safari 2021 
Comment :- for Tata harrier",1,2021-03-22T14:48:18Z,Negative,neutral,0.8977738618850708
@ThatGamerisPro,I love harrier,0,2021-03-21T06:36:01Z,Positive,positive,0.979971706867218
@msrv2293,"Ther is hardly any difference other then the name
.........",1,2021-03-16T17:32:31Z,Negative,neutral,0.5624269843101501
@leakedzebra,It's the same car 🤦,0,2021-03-15T20:51:48Z,Negative,neutral,0.47347864508628845
@topicsnow7014,Great Vedio ji,1,2021-03-13T14:07:22Z,Positive,positive,0.6537110209465027
@Anonymous-vj4dv,Is there any price difference ?,1,2021-03-13T13:14:43Z,Negative,neutral,0.8425129055976868
@influff7435,Tata should make a 4x4 car around 25 lacs,1,2021-03-10T15:05:12Z,Negative,neutral,0.8773216009140015
@dba1996,"Safari all wheel disc brakes 
Harrier front disc rear drum",0,2021-03-06T14:58:05Z,Negative,neutral,0.9020010828971863
@mahlawat12,Old Safari was legend. Im sad. I don't like it. It was a trademark. Look at Mahindra.. they kept Scorpio same.,1,2021-03-06T12:27:52Z,Negative,negative,0.8855240941047668
@madhukeshwaryavagal1505,Same look.. disappointed,1,2021-03-06T06:30:44Z,Negative,negative,0.8882195353507996
@aaditgoyal2317,The leather color on the Harrier is better,0,2021-03-05T01:34:24Z,Positive,positive,0.7259151935577393
@sukhsarpanch7347,Best harrier or Safari 🙄 which one choose,1,2021-03-04T09:25:34Z,Positive,neutral,0.7323231101036072
@yadhavkrishna5520,Do the harrier off roading video,0,2021-03-03T22:50:40Z,Negative,neutral,0.8786317110061646
@jemsncrystals,Swa ekko hi a dono.,0,2021-02-23T05:47:36Z,Negative,neutral,0.7274792790412903
@bikashkeisham7280,Safari has IRA but harrier don't.,0,2021-02-23T03:12:15Z,Negative,neutral,0.5922306776046753
@Navyguy,*I aas looking for this comparison for a week now...* 🙏❤,2,2021-02-22T04:43:30Z,Negative,positive,0.6682039499282837
@lkyalltech.5097,i m 888th person who liked this video 😍... yoo folks please subscribe this channel he has superb knowledge like me 🤗... 😁💐,1,2021-02-15T11:35:10Z,Positive,positive,0.9660362601280212
@TANISHXHZ60,Speak in hindi,0,2021-02-13T04:56:35Z,Negative,neutral,0.8373503088951111
@786katty,What the ground clearance of Tata Safari?,0,2021-02-13T03:42:45Z,Negative,neutral,0.8852209448814392
@Deepeshyadavjr,@bunnypunia kindly dont spread rumours. Even harrier have Auto dimming IRVM. kindly check your video at 5:00,1,2021-02-12T15:35:16Z,Positive,neutral,0.5579055547714233
@raymondmarboh7699,wow looking beautyful nice new safari,1,2021-02-11T14:36:04Z,Positive,positive,0.9863693714141846
@manthanpatel6064,Tata safari is best...King is back,2,2021-02-10T16:38:16Z,Negative,positive,0.9369083642959595
@Abhilash_pandit,7 is good car,0,2021-02-10T13:39:02Z,Positive,positive,0.917994499206543
@tejasrana2201,"bro harrier now gets an auto dimming irvm in xza+, i have one myself lol",4,2021-02-10T03:37:00Z,Positive,neutral,0.712992787361145
@KeenyNewton,Spot on video .. the feature list back to back comparison .. just the facts and the final verdict .. thanks for not putting any drama on this Bunny 👍,5,2021-02-07T06:37:13Z,Positive,positive,0.6203010678291321
@er.m.s8930,"Not happy with TATA MOTORS.
safari is just like newer model of harrier.
    They should have made much more differences between the two specially in the cosmetics.
Very dissapointed",0,2021-02-06T15:16:13Z,Positive,negative,0.9369376301765442
@akshayakapoor1402,"You should've compared the top model harrier with the safari. Harrier xz+ has auto dimming irvms, electronically adjustable seats and a panoramic sunroof. Get your facts right sir",1,2021-02-06T11:30:53Z,Positive,neutral,0.6329616904258728
@udithpandian9178,So amazing cars. Unfortunately out of budget. Hoping that scorpio or xuv are well priced.,5,2021-02-06T11:24:25Z,Positive,positive,0.8037975430488586
@khichi1985,U should have bought the bs6 Harrier.,0,2021-02-06T05:49:17Z,Negative,neutral,0.7202684283256531
@bhushanlangde1048,"Mothi sister ahe safari..
Bas itkach",1,2021-02-06T02:35:03Z,Negative,neutral,0.8299326300621033
@kdg81,When is petrol Harrier being launched?,1,2021-02-05T19:45:27Z,Negative,neutral,0.9382948875427246
@isaca7358,Net net- safari nor worth the extra money?,0,2021-02-05T14:18:41Z,Positive,neutral,0.49128758907318115
@guru-su3fk,Tata safari not so appealing.. Rather introduce another varient in harrier... Tata has taken wrong step,1,2021-02-05T11:35:46Z,Negative,negative,0.7934955358505249
@johurulislam7933,"Greetings,
You have wonderful skill and enlightening energy..

Great cinematography... Hats off to you 

Have a wonderful time ahead",2,2021-02-05T04:55:51Z,Positive,positive,0.9877696633338928
@291rajk,Harrier+seat in boot = safari 😎,2,2021-02-04T11:12:20Z,Negative,neutral,0.6412603855133057
@kiranravoori8363,I still go with Harrier..,2,2021-02-04T09:20:11Z,Negative,neutral,0.7044856548309326
@SBRIndia,The best comparo video out there ! To the point - Direct and brilliantly shot !,6,2021-02-03T16:36:42Z,Positive,positive,0.9698759317398071
@rochenruyi6547,Safari looks ungly,0,2021-02-03T14:13:14Z,Negative,negative,0.9238704442977905
@rdarshan256,"tata nay desine me chutiya paa kar diya thoda ta or koi desine deyte safari he yaar.....  Tata done nothing-special for safari it can be desined in best segment for fight with other cars to grow in market... I love tata i support tata just giving my small correction on desine or new face lift 
This can be done for more great  looks for safari.... #saffari #madeinindia #safetycars 
#love Tata 
Tata loves the country by giving best product with quality and with great safty.",0,2021-02-03T09:28:44Z,Positive,positive,0.9310491681098938
@SainkyVlogs,Same h,0,2021-02-03T06:00:34Z,Negative,neutral,0.6112191677093506
@tarunswheels3705,0 -100 test between harrier n safari to know the pickup due to extra weight added,3,2021-02-03T05:28:13Z,Negative,neutral,0.8181397914886475
@Gladiatorking7,Harrier+ vs harrier,1,2021-02-03T03:39:33Z,Negative,neutral,0.8780121803283691
@jakselian,So the new safari is a 7 seater harrier?,4,2021-02-02T12:10:54Z,Positive,neutral,0.9145066142082214
@shreekanths2090,Safari has different mkt segment compared to harrier . It is evident from you video as well,5,2021-02-02T08:17:50Z,Positive,neutral,0.8292690515518188
@Userpj001,"Underated channel 
Good content 👌👌",1,2021-02-02T07:33:57Z,Positive,positive,0.9016212821006775
@gajrajrathore4915,"HARRIER :- range rove eqoue
Safari :- land rover discovery",77,2021-02-02T05:57:55Z,Negative,neutral,0.9037148356437683
@bhushanramdham,That's just a Harrier 7 seater,6,2021-02-02T03:16:16Z,Negative,neutral,0.7982581257820129
@mayanksingh7835,"Dislike for fast transition.. bhai gaadi dekhne k liye video dekh rahe hai.. na k teri video editing style.. itne fast frame change ho rhi hai kuch samjh hi nhi ata.. pause b karo itne me to dusra scene ajata hai.. 
Public k liye video banya hai ya khud ki video editing style ka presentation dene k liye.. to bhai wo b bakwas hi hai.. bigg dislike",1,2021-02-01T18:23:39Z,Positive,negative,0.6591644883155823
@ankittanwar2025,"*feedback*
1 Full Digital instruments cluster
2 electric boot
3 ventilated seats
410 inch screen
5 different alloys
6 sun blind
🔥🔥🔥🔥
what do you think bunny ?",8,2021-02-01T18:07:01Z,Negative,neutral,0.5782140493392944
@wasilshaikh909,i think tata has taken a wrong step by launching tata Safari almost identical to the harrier,27,2021-02-01T17:21:18Z,Negative,negative,0.8400588035583496
@rajputrana1,Best review of Tata Safari today. All other reviewers crying safari is just a harrier+ but this guy nails it like a pro.,55,2021-02-01T17:20:52Z,Positive,positive,0.902686595916748
@samrat14778,मने अब क्या जिन्होने 20लाख खर्च कर हेक्सा ली वो तो आखिर चूतिया बन गये,2,2021-02-01T17:12:09Z,Negative,neutral,0.8415011763572693
@pravinishi3716,Tata ne fail kardi Tata Safari Tata harrier ki copy,2,2021-02-01T16:35:18Z,Negative,neutral,0.6096068024635315
@pritishchoudhury2995,"Two minor correction, auto dimming mirror is there is Harrier but it comes in XZ/XZA+ only not in lower variant (not even in XZ and XZA). Mood lighting is not present at all in Harrier.",3,2021-02-01T13:23:18Z,Negative,neutral,0.6020489931106567
@shauryaditya802,Wrong harrier have auto irvm,1,2021-02-01T08:59:11Z,Negative,negative,0.5166149735450745
@sushantrai428,Sir please do milage run also city and highway run  both!,0,2021-02-01T08:04:31Z,Negative,neutral,0.7479573488235474
@sy5918,Harrier looks more sportier 🔥🔥🔥,8,2021-02-01T06:03:04Z,Positive,positive,0.9295042753219604
@jagatbisht24,Harrier doesn't have mood lighting!,1,2021-02-01T04:45:46Z,Negative,negative,0.6496474146842957
@two_wanderedsouls,Sir I have booked a harrier xz plus. Should I change to safari xz plus what is your opinion,4,2021-02-01T04:41:43Z,Negative,neutral,0.9320324659347534
@shaktinathjha4453,"Informative Video, The new Safari has now started appealing me more than the Harrier 😅",54,2021-02-01T03:59:27Z,Positive,positive,0.9497497081756592
@Wealth_Express,Top model harrier comes with a auto dimming rear view mirror.,33,2021-02-01T03:52:31Z,Positive,neutral,0.745106041431427
@Pratham_Maurya,Nice bro 👌,2,2021-02-01T03:32:16Z,Positive,positive,0.8839250802993774
@AmeyGokhale-255,Build quality bulletproof hai bhai 💪,0,2025-08-06T14:45:45Z,Negative,neutral,0.5877233147621155
@ChiranjeevSaran,Safari's interior looks like it’s from a 40L car fr 👀,0,2025-08-06T11:40:50Z,Negative,neutral,0.6663851141929626
@ChetanSharma-k9y,Amazing 😍👏,0,2025-08-05T16:56:03Z,Positive,positive,0.9519866108894348
